participantId,farmilarity_pj,format
67c1dd323984fa84ae83e162,Somewhat familiar,jsonc
67d2a409ab3638e33fc417b9,Somewhat familiar,hjson
66ec8f7ce843d25227820f97,Somewhat familiar,hjson
6680d2279263349cc005956a,Very familiar,json
6081728972120aa7f9685791,Very familiar,json
67aca6831f2b0b79416bdb6c,Very familiar,xml
675aaf0eb1b401136f37c475,Somewhat familiar,json
6723422d5f63c70998014b03,Somewhat familiar,jsonc
6554e79557e3d6be08e32ceb,Not familiar at all,yaml
645b519f108c046164a6d232,Somewhat familiar,yaml
589cd166b2a7180001f0527d,Not familiar at all,jsonc
6682a94b061954ae8483fb08,Not familiar at all,toml
6735b2a6112cf17b7b8df8d1,Not familiar at all,jsonc
67792abbab2fa21bf3644c09,Not familiar at all,hjson
5ea90bb434d5e337e98c7edd,Not familiar at all,json5
677f8968bbb08bc37c8d2a4b,Somewhat familiar,xml
672f51ea346fba23ddd5a793,Very familiar,xml
67d13a1ec91ae2216896de44,Very familiar,json
67bf5ad9c5a4637861cfd21e,Not familiar at all,toml
616e5ae706e970fe0aff99b6,Very familiar,hjson
66311bae532a469f4858933e,Not familiar at all,toml
669284eabea5b8c9655927da,Not familiar at all,yaml
67da5ae29f57419143d2b99a,Somewhat familiar,jsonc
68138e7f96395f4c5f3a0a87,Not familiar at all,json
66684beba2a2d24645a6d782,Somewhat familiar,jsonc
660eafee7515c432e850362d,Somewhat familiar,hjson
62d7fef5538b81f205ba4656,Not familiar at all,xml
67caa7fe00179edfb74d3e1a,Somewhat familiar,json5
65fae23bd06ae76bcc297e8b,Not familiar at all,hjson
588ab33542c8e900019d02ae,Somewhat familiar,jsonc
67f4ea448eb6a2b293c1f2fc,Somewhat familiar,json
65f4ab7884f8411c9e11a34e,Not familiar at all,json5
611d0afbb2a19acfd012545b,Not familiar at all,toml
67406c1303bd39d206ff2b50,Somewhat familiar,xml
61601e9a6b8306196d2a129c,Not familiar at all,hjson
65fad6c874ac75642ffc254b,Not familiar at all,hjson
606c7d27f4f3ae688332a55d,Somewhat familiar,toml
67f66486e35051403284eb5e,Somewhat familiar,xml
67a8fa10b4db1990f7372f01,Somewhat familiar,json5
6094ce8d0764c24f352d1fe5,Not familiar at all,hjson
6715c7aedee148c65c10509c,Somewhat familiar,yaml
664e413a5f3eb7f99d90e15b,Somewhat familiar,json
65fb13bebfa339f73b4cf76a,Somewhat familiar,jsonc
65fb236a5a78fcf672df7469,Somewhat familiar,json
60f7c71d1cffec381351b0b3,Not familiar at all,xml
675330fb23080b9ae3ec8239,Somewhat familiar,json5
671e39c25e5e3f340a6f21d4,Somewhat familiar,jsonc
5fb4fcd1fce53c30649dd704,Not familiar at all,xml
67d0251c804fc17732eb948a,Somewhat familiar,toml
67d11644421446068e1fec14,Very familiar,toml
67d0088c269b3e96d9ba6019,Somewhat familiar,hjson
678a94ff1cf9f0775cb89e69,Somewhat familiar,hjson
67176f0792ed8c4064f61a2c,Somewhat familiar,json
678526627e48ded12935af38,Not familiar at all,yaml
6738d09a032bf7224008ce7e,Very familiar,yaml
62d6d87d91cf24a3c1c0f10c,Not familiar at all,hjson
67c6ed1e12728e4fe7a1edf6,Somewhat familiar,jsonc
672b5998daafdbf9c43a531b,Somewhat familiar,jsonc
5795af044a84da00014c5df1,Somewhat familiar,json
65298aca34ac384b783169d4,Somewhat familiar,jsonc
681374d36d7bd7ccb6f914f5,Very familiar,json5
61287939bc5a971fc15333e4,Not familiar at all,json
65feaaac53eb219f09ad5ea0,Somewhat familiar,toml
5755c957eb80c4000741a9ce,Somewhat familiar,json5
6693d3ae2bd15cf7a058e6a7,Not familiar at all,json5
60e2bf0aa568b97e8d525872,Very familiar,toml
67d24179c5bd87691f1fe036,Not familiar at all,yaml
5c4f5967aac8be0001716a65,Not familiar at all,xml
