participantId,task,format,correct count,score
56cb8858edf8da000b6df354,reading-task-tabular-4,hjson,1,1.0
56cb8858edf8da000b6df354,reading-task-tabular-5,hjson,1,1.0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-1,jsonc,1,1.0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-2,jsonc,1,1.0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-3,jsonc,1,1.0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-4,jsonc,1,1.0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-5,jsonc,1,1.0
667971a555af1f83d3f29ae7,reading-task-tabular-1,hjson,1,1.0
667971a555af1f83d3f29ae7,reading-task-tabular-2,hjson,1,1.0
667971a555af1f83d3f29ae7,reading-task-tabular-3,hjson,1,1.0
667971a555af1f83d3f29ae7,reading-task-tabular-4,hjson,1,1.0
667971a555af1f83d3f29ae7,reading-task-tabular-5,hjson,1,1.0
5c6414540821d30001046198,reading-task-tabular-1,hjson,1,1.0
5c6414540821d30001046198,reading-task-tabular-2,hjson,1,1.0
5c6414540821d30001046198,reading-task-tabular-3,hjson,1,1.0
5c6414540821d30001046198,reading-task-tabular-4,hjson,1,1.0
5c6414540821d30001046198,reading-task-tabular-5,hjson,1,1.0
6788c1c724c24dc56b08790a,reading-task-tabular-1,json5,1,1.0
6788c1c724c24dc56b08790a,reading-task-tabular-2,json5,1,1.0
6788c1c724c24dc56b08790a,reading-task-tabular-3,json5,0,0.0
6788c1c724c24dc56b08790a,reading-task-tabular-4,json5,1,1.0
6788c1c724c24dc56b08790a,reading-task-tabular-5,json5,1,1.0
67adb520391eb17f214a50b4,reading-task-tabular-1,yaml,1,1.0
67adb520391eb17f214a50b4,reading-task-tabular-2,yaml,1,1.0
67adb520391eb17f214a50b4,reading-task-tabular-3,yaml,0,0.0
67adb520391eb17f214a50b4,reading-task-tabular-4,yaml,1,1.0
67adb520391eb17f214a50b4,reading-task-tabular-5,yaml,1,1.0
67d95269b47464c18da766ca,reading-task-tabular-1,xml,0,0.0
67d95269b47464c18da766ca,reading-task-tabular-2,xml,1,1.0
67d95269b47464c18da766ca,reading-task-tabular-3,xml,1,1.0
67d95269b47464c18da766ca,reading-task-tabular-4,xml,1,1.0
67d95269b47464c18da766ca,reading-task-tabular-5,xml,1,1.0
64275e53f51a5ed4f6b7d019,reading-task-tabular-1,toml,1,1.0
64275e53f51a5ed4f6b7d019,reading-task-tabular-2,toml,1,1.0
64275e53f51a5ed4f6b7d019,reading-task-tabular-3,toml,1,1.0
64275e53f51a5ed4f6b7d019,reading-task-tabular-4,toml,1,1.0
64275e53f51a5ed4f6b7d019,reading-task-tabular-5,toml,1,1.0
6734346ca8e90c2da6fb4509,reading-task-tabular-1,jsonc,0,0.0
6734346ca8e90c2da6fb4509,reading-task-tabular-2,jsonc,1,1.0
6734346ca8e90c2da6fb4509,reading-task-tabular-3,jsonc,1,1.0
6734346ca8e90c2da6fb4509,reading-task-tabular-4,jsonc,1,1.0
6734346ca8e90c2da6fb4509,reading-task-tabular-5,jsonc,1,1.0
66049694dfb8828a8f3dce70,reading-task-tabular-1,yaml,1,1.0
66049694dfb8828a8f3dce70,reading-task-tabular-2,yaml,1,1.0
66049694dfb8828a8f3dce70,reading-task-tabular-3,yaml,1,1.0
66049694dfb8828a8f3dce70,reading-task-tabular-4,yaml,1,1.0
66049694dfb8828a8f3dce70,reading-task-tabular-5,yaml,1,1.0
67ab214c2cde1be7c45535ac,reading-task-tabular-1,jsonc,1,1.0
67ab214c2cde1be7c45535ac,reading-task-tabular-2,jsonc,1,1.0
67ab214c2cde1be7c45535ac,reading-task-tabular-3,jsonc,1,1.0
67ab214c2cde1be7c45535ac,reading-task-tabular-4,jsonc,1,1.0
67ab214c2cde1be7c45535ac,reading-task-tabular-5,jsonc,1,1.0
607728dc0b4f8590b94ae57c,reading-task-tabular-1,jsonc,1,1.0
607728dc0b4f8590b94ae57c,reading-task-tabular-2,jsonc,1,1.0
607728dc0b4f8590b94ae57c,reading-task-tabular-3,jsonc,1,1.0
607728dc0b4f8590b94ae57c,reading-task-tabular-4,jsonc,1,1.0
607728dc0b4f8590b94ae57c,reading-task-tabular-5,jsonc,1,1.0
667c18ace97ab6869cb1c50e,reading-task-tabular-1,hjson,1,1.0
667c18ace97ab6869cb1c50e,reading-task-tabular-2,hjson,1,1.0
667c18ace97ab6869cb1c50e,reading-task-tabular-3,hjson,1,1.0
667c18ace97ab6869cb1c50e,reading-task-tabular-4,hjson,1,1.0
667c18ace97ab6869cb1c50e,reading-task-tabular-5,hjson,0,0.0
667ac09492ea0caadf488520,reading-task-tabular-1,json,0,0.0
667ac09492ea0caadf488520,reading-task-tabular-2,json,0,0.0
667ac09492ea0caadf488520,reading-task-tabular-3,json,0,0.0
667ac09492ea0caadf488520,reading-task-tabular-4,json,1,1.0
667ac09492ea0caadf488520,reading-task-tabular-5,json,0,0.0
6740ae39809389d7da9de209,reading-task-tabular-1,xml,1,1.0
6740ae39809389d7da9de209,reading-task-tabular-2,xml,1,1.0
6740ae39809389d7da9de209,reading-task-tabular-3,xml,1,1.0
6740ae39809389d7da9de209,reading-task-tabular-4,xml,1,1.0
6740ae39809389d7da9de209,reading-task-tabular-5,xml,1,1.0
67c246023b44ca64d40ae45a,reading-task-tabular-1,json5,1,1.0
67c246023b44ca64d40ae45a,reading-task-tabular-2,json5,1,1.0
67c246023b44ca64d40ae45a,reading-task-tabular-3,json5,0,0.0
67c246023b44ca64d40ae45a,reading-task-tabular-4,json5,1,1.0
67c246023b44ca64d40ae45a,reading-task-tabular-5,json5,0,0.0
67debe02a893eea51e8d02f2,reading-task-tabular-1,json,1,1.0
67debe02a893eea51e8d02f2,reading-task-tabular-2,json,1,1.0
67debe02a893eea51e8d02f2,reading-task-tabular-3,json,1,1.0
67debe02a893eea51e8d02f2,reading-task-tabular-4,json,1,1.0
67debe02a893eea51e8d02f2,reading-task-tabular-5,json,1,1.0
673d0377254c407e5da57f97,reading-task-tabular-1,toml,1,1.0
673d0377254c407e5da57f97,reading-task-tabular-2,toml,1,1.0
673d0377254c407e5da57f97,reading-task-tabular-3,toml,1,1.0
673d0377254c407e5da57f97,reading-task-tabular-4,toml,1,1.0
673d0377254c407e5da57f97,reading-task-tabular-5,toml,1,1.0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-1,xml,1,1.0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-2,xml,1,1.0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-3,xml,1,1.0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-4,xml,1,1.0
62fd14d7b1e0729dc8aadb79,reading-task-tabular-5,xml,1,1.0
5dafea4de40355001651fa2f,reading-task-tabular-1,jsonc,1,1.0
5dafea4de40355001651fa2f,reading-task-tabular-2,jsonc,1,1.0
5dafea4de40355001651fa2f,reading-task-tabular-3,jsonc,0,0.0
5dafea4de40355001651fa2f,reading-task-tabular-4,jsonc,1,1.0
5dafea4de40355001651fa2f,reading-task-tabular-5,jsonc,0,0.0
6787e4bd2bf9557a90208f03,reading-task-tabular-1,yaml,1,1.0
6787e4bd2bf9557a90208f03,reading-task-tabular-2,yaml,1,1.0
6787e4bd2bf9557a90208f03,reading-task-tabular-3,yaml,1,1.0
6787e4bd2bf9557a90208f03,reading-task-tabular-4,yaml,1,1.0
6787e4bd2bf9557a90208f03,reading-task-tabular-5,yaml,1,1.0
5e8a5a892f6f027054a83d88,reading-task-tabular-1,toml,1,1.0
5e8a5a892f6f027054a83d88,reading-task-tabular-2,toml,1,1.0
5e8a5a892f6f027054a83d88,reading-task-tabular-3,toml,0,0.0
5e8a5a892f6f027054a83d88,reading-task-tabular-4,toml,1,1.0
5e8a5a892f6f027054a83d88,reading-task-tabular-5,toml,1,1.0
67e4920c40c9561040ca01d0,reading-task-tabular-1,xml,0,0.0
67e4920c40c9561040ca01d0,reading-task-tabular-2,xml,0,0.0
67e4920c40c9561040ca01d0,reading-task-tabular-3,xml,0,0.0
67e4920c40c9561040ca01d0,reading-task-tabular-4,xml,0,0.0
67e4920c40c9561040ca01d0,reading-task-tabular-5,xml,0,0.0
615200d54efc832849db2259,reading-task-tabular-1,json,1,1.0
615200d54efc832849db2259,reading-task-tabular-2,json,1,1.0
615200d54efc832849db2259,reading-task-tabular-3,json,1,1.0
615200d54efc832849db2259,reading-task-tabular-4,json,1,1.0
615200d54efc832849db2259,reading-task-tabular-5,json,1,1.0
67f184a3b82990251abd1592,reading-task-tabular-1,yaml,1,1.0
67f184a3b82990251abd1592,reading-task-tabular-2,yaml,1,1.0
67f184a3b82990251abd1592,reading-task-tabular-3,yaml,0,0.0
67f184a3b82990251abd1592,reading-task-tabular-4,yaml,1,1.0
67f184a3b82990251abd1592,reading-task-tabular-5,yaml,0,0.0
67bf88cc763aae600b429a3e,reading-task-tabular-1,toml,1,1.0
67bf88cc763aae600b429a3e,reading-task-tabular-2,toml,1,1.0
67bf88cc763aae600b429a3e,reading-task-tabular-3,toml,1,1.0
67bf88cc763aae600b429a3e,reading-task-tabular-4,toml,1,1.0
67bf88cc763aae600b429a3e,reading-task-tabular-5,toml,0,0.0
67a754a5c8614c52a939d87b,reading-task-tabular-1,hjson,1,1.0
67a754a5c8614c52a939d87b,reading-task-tabular-2,hjson,1,1.0
67a754a5c8614c52a939d87b,reading-task-tabular-3,hjson,1,1.0
67a754a5c8614c52a939d87b,reading-task-tabular-4,hjson,1,1.0
67a754a5c8614c52a939d87b,reading-task-tabular-5,hjson,1,1.0
60fce3df91350150e2e88423,reading-task-tabular-1,yaml,1,1.0
60fce3df91350150e2e88423,reading-task-tabular-2,yaml,1,1.0
60fce3df91350150e2e88423,reading-task-tabular-3,yaml,1,1.0
60fce3df91350150e2e88423,reading-task-tabular-4,yaml,1,1.0
60fce3df91350150e2e88423,reading-task-tabular-5,yaml,1,1.0
67d29234dbfdb6668d124115,reading-task-tabular-1,yaml,0,0.0
67d29234dbfdb6668d124115,reading-task-tabular-2,yaml,0,0.0
67d29234dbfdb6668d124115,reading-task-tabular-3,yaml,0,0.0
67d29234dbfdb6668d124115,reading-task-tabular-4,yaml,0,0.0
67d29234dbfdb6668d124115,reading-task-tabular-5,yaml,0,0.0
65cf6d8a589a67afcab54e6f,reading-task-tabular-1,hjson,1,1.0
65cf6d8a589a67afcab54e6f,reading-task-tabular-2,hjson,1,1.0
65cf6d8a589a67afcab54e6f,reading-task-tabular-3,hjson,1,1.0
65cf6d8a589a67afcab54e6f,reading-task-tabular-4,hjson,1,1.0
65cf6d8a589a67afcab54e6f,reading-task-tabular-5,hjson,1,1.0
672d98919cc177d28c204e76,reading-task-tabular-1,json5,1,1.0
672d98919cc177d28c204e76,reading-task-tabular-2,json5,1,1.0
672d98919cc177d28c204e76,reading-task-tabular-3,json5,0,0.0
672d98919cc177d28c204e76,reading-task-tabular-4,json5,1,1.0
672d98919cc177d28c204e76,reading-task-tabular-5,json5,1,1.0
66b0d065329001a04e5ae671,reading-task-tabular-1,json,1,1.0
66b0d065329001a04e5ae671,reading-task-tabular-2,json,1,1.0
66b0d065329001a04e5ae671,reading-task-tabular-3,json,1,1.0
66b0d065329001a04e5ae671,reading-task-tabular-4,json,1,1.0
66b0d065329001a04e5ae671,reading-task-tabular-5,json,0,0.0
67f1a4f8dd44e7cd5adffa29,reading-task-tabular-1,json5,1,1.0
67f1a4f8dd44e7cd5adffa29,reading-task-tabular-2,json5,1,1.0
67f1a4f8dd44e7cd5adffa29,reading-task-tabular-3,json5,1,1.0
67f1a4f8dd44e7cd5adffa29,reading-task-tabular-4,json5,1,1.0
67f1a4f8dd44e7cd5adffa29,reading-task-tabular-5,json5,0,0.0
5e3b5fa9255e7a37bc841135,reading-task-tabular-1,json,1,1.0
5e3b5fa9255e7a37bc841135,reading-task-tabular-2,json,1,1.0
5e3b5fa9255e7a37bc841135,reading-task-tabular-3,json,1,1.0
5e3b5fa9255e7a37bc841135,reading-task-tabular-4,json,1,1.0
5e3b5fa9255e7a37bc841135,reading-task-tabular-5,json,1,1.0
677c52fe648cd68583dd3b1e,reading-task-tabular-1,xml,1,1.0
677c52fe648cd68583dd3b1e,reading-task-tabular-2,xml,1,1.0
677c52fe648cd68583dd3b1e,reading-task-tabular-3,xml,1,1.0
677c52fe648cd68583dd3b1e,reading-task-tabular-4,xml,1,1.0
677c52fe648cd68583dd3b1e,reading-task-tabular-5,xml,1,1.0
5d30dfa68b1523000134878f,reading-task-tabular-1,json,1,1.0
5d30dfa68b1523000134878f,reading-task-tabular-2,json,1,1.0
5d30dfa68b1523000134878f,reading-task-tabular-3,json,1,1.0
5d30dfa68b1523000134878f,reading-task-tabular-4,json,1,1.0
5d30dfa68b1523000134878f,reading-task-tabular-5,json,1,1.0
671a519900a99ebc15a67672,reading-task-tabular-1,yaml,1,1.0
671a519900a99ebc15a67672,reading-task-tabular-2,yaml,1,1.0
671a519900a99ebc15a67672,reading-task-tabular-3,yaml,0,0.0
671a519900a99ebc15a67672,reading-task-tabular-4,yaml,1,1.0
671a519900a99ebc15a67672,reading-task-tabular-5,yaml,0,0.0
672ca6c0324ac26cdc0dd298,reading-task-tabular-1,json5,1,1.0
672ca6c0324ac26cdc0dd298,reading-task-tabular-2,json5,1,1.0
672ca6c0324ac26cdc0dd298,reading-task-tabular-3,json5,0,0.0
672ca6c0324ac26cdc0dd298,reading-task-tabular-4,json5,0,0.0
672ca6c0324ac26cdc0dd298,reading-task-tabular-5,json5,0,0.0
67d7fa657f5ac0292a291a38,reading-task-tabular-1,hjson,1,1.0
67d7fa657f5ac0292a291a38,reading-task-tabular-2,hjson,1,1.0
67d7fa657f5ac0292a291a38,reading-task-tabular-3,hjson,0,0.0
67d7fa657f5ac0292a291a38,reading-task-tabular-4,hjson,1,1.0
67d7fa657f5ac0292a291a38,reading-task-tabular-5,hjson,1,1.0
677d185800ab83d1b0185d82,reading-task-tabular-1,jsonc,1,1.0
677d185800ab83d1b0185d82,reading-task-tabular-2,jsonc,1,1.0
677d185800ab83d1b0185d82,reading-task-tabular-3,jsonc,0,0.0
677d185800ab83d1b0185d82,reading-task-tabular-4,jsonc,0,0.0
677d185800ab83d1b0185d82,reading-task-tabular-5,jsonc,0,0.0
5b68c9eb87af310001584803,reading-task-tabular-1,json5,1,1.0
5b68c9eb87af310001584803,reading-task-tabular-2,json5,1,1.0
5b68c9eb87af310001584803,reading-task-tabular-3,json5,1,1.0
5b68c9eb87af310001584803,reading-task-tabular-4,json5,1,1.0
5b68c9eb87af310001584803,reading-task-tabular-5,json5,0,0.0
6784ff2095dd9b97e969b01f,reading-task-tabular-1,jsonc,1,1.0
6784ff2095dd9b97e969b01f,reading-task-tabular-2,jsonc,1,1.0
6784ff2095dd9b97e969b01f,reading-task-tabular-3,jsonc,1,1.0
6784ff2095dd9b97e969b01f,reading-task-tabular-4,jsonc,1,1.0
6784ff2095dd9b97e969b01f,reading-task-tabular-5,jsonc,0,0.0
67eff2b1a264260e948a4d14,reading-task-tabular-1,xml,1,1.0
67eff2b1a264260e948a4d14,reading-task-tabular-2,xml,1,1.0
67eff2b1a264260e948a4d14,reading-task-tabular-3,xml,1,1.0
67eff2b1a264260e948a4d14,reading-task-tabular-4,xml,1,1.0
67eff2b1a264260e948a4d14,reading-task-tabular-5,xml,0,0.0
5ecc71c95c92c2000a9e9a19,reading-task-tabular-1,jsonc,1,1.0
5ecc71c95c92c2000a9e9a19,reading-task-tabular-2,jsonc,1,1.0
5ecc71c95c92c2000a9e9a19,reading-task-tabular-3,jsonc,1,1.0
5ecc71c95c92c2000a9e9a19,reading-task-tabular-4,jsonc,1,1.0
5ecc71c95c92c2000a9e9a19,reading-task-tabular-5,jsonc,1,1.0
61267b828ead584bcf092e35,reading-task-tabular-1,hjson,1,1.0
61267b828ead584bcf092e35,reading-task-tabular-2,hjson,1,1.0
61267b828ead584bcf092e35,reading-task-tabular-3,hjson,1,1.0
61267b828ead584bcf092e35,reading-task-tabular-4,hjson,1,1.0
61267b828ead584bcf092e35,reading-task-tabular-5,hjson,1,1.0
6501c0a2e788b5556c24569d,reading-task-tabular-1,xml,1,1.0
6501c0a2e788b5556c24569d,reading-task-tabular-2,xml,1,1.0
6501c0a2e788b5556c24569d,reading-task-tabular-3,xml,1,1.0
6501c0a2e788b5556c24569d,reading-task-tabular-4,xml,1,1.0
6501c0a2e788b5556c24569d,reading-task-tabular-5,xml,1,1.0
637d8ca00150ac6e71a34ec9,reading-task-tabular-1,yaml,1,1.0
637d8ca00150ac6e71a34ec9,reading-task-tabular-2,yaml,1,1.0
637d8ca00150ac6e71a34ec9,reading-task-tabular-3,yaml,1,1.0
637d8ca00150ac6e71a34ec9,reading-task-tabular-4,yaml,1,1.0
637d8ca00150ac6e71a34ec9,reading-task-tabular-5,yaml,1,1.0
67cb01a82dda2577eb6ee320,reading-task-tabular-1,json,1,1.0
67cb01a82dda2577eb6ee320,reading-task-tabular-2,json,1,1.0
67cb01a82dda2577eb6ee320,reading-task-tabular-3,json,1,1.0
67cb01a82dda2577eb6ee320,reading-task-tabular-4,json,1,1.0
67cb01a82dda2577eb6ee320,reading-task-tabular-5,json,0,0.0
67e17bac09359e09118892b4,reading-task-tabular-1,json5,1,1.0
67e17bac09359e09118892b4,reading-task-tabular-2,json5,1,1.0
67e17bac09359e09118892b4,reading-task-tabular-3,json5,1,1.0
67e17bac09359e09118892b4,reading-task-tabular-4,json5,1,1.0
67e17bac09359e09118892b4,reading-task-tabular-5,json5,0,0.0
6606b31155457e4f162ecf5a,reading-task-tabular-1,json5,1,1.0
6606b31155457e4f162ecf5a,reading-task-tabular-2,json5,1,1.0
6606b31155457e4f162ecf5a,reading-task-tabular-3,json5,1,1.0
6606b31155457e4f162ecf5a,reading-task-tabular-4,json5,1,1.0
6606b31155457e4f162ecf5a,reading-task-tabular-5,json5,1,1.0
63e5b3e89a3823139cb9d35e,reading-task-tabular-1,toml,1,1.0
63e5b3e89a3823139cb9d35e,reading-task-tabular-2,toml,1,1.0
63e5b3e89a3823139cb9d35e,reading-task-tabular-3,toml,1,1.0
63e5b3e89a3823139cb9d35e,reading-task-tabular-4,toml,1,1.0
63e5b3e89a3823139cb9d35e,reading-task-tabular-5,toml,1,1.0
66bb6b7e0ccbed81f3ed30a8,reading-task-tabular-1,xml,1,1.0
66bb6b7e0ccbed81f3ed30a8,reading-task-tabular-2,xml,1,1.0
66bb6b7e0ccbed81f3ed30a8,reading-task-tabular-3,xml,0,0.0
66bb6b7e0ccbed81f3ed30a8,reading-task-tabular-4,xml,1,1.0
66bb6b7e0ccbed81f3ed30a8,reading-task-tabular-5,xml,0,0.0
6753746b1f8827e2bd586bf0,reading-task-tabular-1,xml,0,0.0
6753746b1f8827e2bd586bf0,reading-task-tabular-2,xml,1,1.0
6753746b1f8827e2bd586bf0,reading-task-tabular-3,xml,0,0.0
6753746b1f8827e2bd586bf0,reading-task-tabular-4,xml,1,1.0
6753746b1f8827e2bd586bf0,reading-task-tabular-5,xml,0,0.0
67cd944859dabbd1d4552d39,reading-task-tabular-1,json,1,1.0
67cd944859dabbd1d4552d39,reading-task-tabular-2,json,1,1.0
67cd944859dabbd1d4552d39,reading-task-tabular-3,json,1,1.0
67cd944859dabbd1d4552d39,reading-task-tabular-4,json,1,1.0
67cd944859dabbd1d4552d39,reading-task-tabular-5,json,1,1.0
57c357770e6a1f00015f6038,reading-task-tabular-1,json,1,1.0
57c357770e6a1f00015f6038,reading-task-tabular-2,json,1,1.0
57c357770e6a1f00015f6038,reading-task-tabular-3,json,1,1.0
57c357770e6a1f00015f6038,reading-task-tabular-4,json,1,1.0
