participantId,task,score,format
6682a94b061954ae8483fb08,mental-demand,40,toml
6735b2a6112cf17b7b8df8d1,mental-demand,99,jsonc
67792abbab2fa21bf3644c09,mental-demand,100,hjson
5ea90bb434d5e337e98c7edd,mental-demand,95,json5
677f8968bbb08bc37c8d2a4b,mental-demand,100,xml
672f51ea346fba23ddd5a793,mental-demand,75,xml
67d13a1ec91ae2216896de44,mental-demand,53,json
67bf5ad9c5a4637861cfd21e,mental-demand,97,toml
616e5ae706e970fe0aff99b6,mental-demand,93,hjson
66311bae532a469f4858933e,mental-demand,95,toml
669284eabea5b8c9655927da,mental-demand,99,yaml
67da5ae29f57419143d2b99a,mental-demand,100,jsonc
68138e7f96395f4c5f3a0a87,mental-demand,95,json
66684beba2a2d24645a6d782,mental-demand,99,jsonc
660eafee7515c432e850362d,mental-demand,75,hjson
62d7fef5538b81f205ba4656,mental-demand,10,xml
67caa7fe00179edfb74d3e1a,mental-demand,80,json5
65fae23bd06ae76bcc297e8b,mental-demand,85,hjson
588ab33542c8e900019d02ae,mental-demand,98,jsonc
67f4ea448eb6a2b293c1f2fc,mental-demand,100,json
65f4ab7884f8411c9e11a34e,mental-demand,92,json5
611d0afbb2a19acfd012545b,mental-demand,100,toml
67406c1303bd39d206ff2b50,mental-demand,90,xml
61601e9a6b8306196d2a129c,mental-demand,90,hjson
65fad6c874ac75642ffc254b,mental-demand,80,hjson
606c7d27f4f3ae688332a55d,mental-demand,90,toml
67f66486e35051403284eb5e,mental-demand,99,xml
67a8fa10b4db1990f7372f01,mental-demand,100,json5
6094ce8d0764c24f352d1fe5,mental-demand,86,hjson
6715c7aedee148c65c10509c,mental-demand,70,yaml
664e413a5f3eb7f99d90e15b,mental-demand,90,json
65fb13bebfa339f73b4cf76a,mental-demand,97,jsonc
65fb236a5a78fcf672df7469,mental-demand,90,json
60f7c71d1cffec381351b0b3,mental-demand,90,xml
675330fb23080b9ae3ec8239,mental-demand,95,json5
671e39c25e5e3f340a6f21d4,mental-demand,95,jsonc
5fb4fcd1fce53c30649dd704,mental-demand,95,xml
67d0251c804fc17732eb948a,mental-demand,95,toml
67d11644421446068e1fec14,mental-demand,52,toml
67d0088c269b3e96d9ba6019,mental-demand,100,hjson
678a94ff1cf9f0775cb89e69,mental-demand,100,hjson
67176f0792ed8c4064f61a2c,mental-demand,98,json
678526627e48ded12935af38,mental-demand,95,yaml
6738d09a032bf7224008ce7e,mental-demand,100,yaml
62d6d87d91cf24a3c1c0f10c,mental-demand,80,hjson
67c6ed1e12728e4fe7a1edf6,mental-demand,96,jsonc
672b5998daafdbf9c43a531b,mental-demand,93,jsonc
5795af044a84da00014c5df1,mental-demand,60,json
65298aca34ac384b783169d4,mental-demand,100,jsonc
681374d36d7bd7ccb6f914f5,mental-demand,90,json5
61287939bc5a971fc15333e4,mental-demand,99,json
65feaaac53eb219f09ad5ea0,mental-demand,94,toml
5755c957eb80c4000741a9ce,mental-demand,69,json5
6693d3ae2bd15cf7a058e6a7,mental-demand,57,json5
60e2bf0aa568b97e8d525872,mental-demand,100,toml
67d24179c5bd87691f1fe036,mental-demand,70,yaml
5c4f5967aac8be0001716a65,mental-demand,92,xml
67895b7d6400163124042af7,physical-demand,87,jsonc
659960f32faa4ff4b116de92,physical-demand,100,toml
5f7f239e9b204e05b6c36538,physical-demand,40,json5
67b8636acd5ed420cc098b64,physical-demand,27,toml
57ca4b09993b08000192297b,physical-demand,0,xml
67d1cc8044430e99a7d91b4a,physical-demand,96,toml
6693ce87e76d32ccf07fbcd8,physical-demand,25,xml
680ebf035ab59d342f31726e,physical-demand,95,hjson
67f0d86fabc081fdc410e828,physical-demand,20,yaml
6691809035e52ca9b2b0f39a,physical-demand,5,yaml
678faf5b31008609fd85b185,physical-demand,90,json5
65e85a421f2dee53c62fbf45,physical-demand,25,json5
666b0b42bb6fa2822fa27a32,physical-demand,44,json5
6708da9c62672d0fe65b6683,physical-demand,55,jsonc
60f70af563ef757f65e750e0,physical-demand,20,xml
670f9ddb0e32533c222c3031,physical-demand,65,json
67d03135f855dd0ff0994265,physical-demand,75,toml
674f479b2a4ef75e4551f258,physical-demand,75,json5
5ee4a14b578f8a000b384376,physical-demand,3,yaml
63af557b3d4f219c3226b7d6,physical-demand,0,yaml
65583ffa38bfc41805a553cd,physical-demand,55,hjson
66684d30d1a0d64a3a348c82,physical-demand,85,yaml
60ec51c51a3158a50ded8a3e,physical-demand,35,json5
671bdd06525adeea062a1d73,physical-demand,28,json
6647e8618c77f7b938865d25,physical-demand,67,json5
613a541cf948d295c1df8752,physical-demand,10,jsonc
5e5c993cd0394c474f7cc502,physical-demand,30,toml
67c045fa5074c5500ca40e76,physical-demand,100,xml
67d2eaf9d5996dc6be1c7072,physical-demand,99,xml
60e2ebb6ad1d5ee0e515a7c5,physical-demand,30,yaml
67153c0d669d191ab273b865,physical-demand,100,yaml
67ab1d683813ed19603e1030,physical-demand,95,yaml
60e343946a7faddde88fbe3c,physical-demand,50,yaml
67e0333064ddada0e2fc6f1e,physical-demand,99,yaml
5b3ec4332a5fbf00014eae57,physical-demand,75,toml
66912d7bf9d35c08f6919958,physical-demand,100,json
6717980047b565ab5b849317,physical-demand,98,hjson
651b29ff3a6cadf518640abe,physical-demand,85,xml
6818ca1523ece90f671e3601,physical-demand,70,json
67c1dd323984fa84ae83e162,physical-demand,85,jsonc
67d2a409ab3638e33fc417b9,physical-demand,71,hjson
66ec8f7ce843d25227820f97,physical-demand,73,hjson
6680d2279263349cc005956a,physical-demand,80,json
6081728972120aa7f9685791,physical-demand,50,json
67aca6831f2b0b79416bdb6c,physical-demand,79,xml
675aaf0eb1b401136f37c475,physical-demand,55,json
6723422d5f63c70998014b03,physical-demand,75,jsonc
6554e79557e3d6be08e32ceb,physical-demand,5,yaml
645b519f108c046164a6d232,physical-demand,45,yaml
589cd166b2a7180001f0527d,physical-demand,87,jsonc
6682a94b061954ae8483fb08,physical-demand,3,toml
6735b2a6112cf17b7b8df8d1,physical-demand,81,jsonc
67792abbab2fa21bf3644c09,physical-demand,50,hjson
5ea90bb434d5e337e98c7edd,physical-demand,35,json5
677f8968bbb08bc37c8d2a4b,physical-demand,75,xml
672f51ea346fba23ddd5a793,physical-demand,79,xml
67d13a1ec91ae2216896de44,physical-demand,57,json
67bf5ad9c5a4637861cfd21e,physical-demand,77,toml
616e5ae706e970fe0aff99b6,physical-demand,51,hjson
66311bae532a469f4858933e,physical-demand,0,toml
669284eabea5b8c9655927da,physical-demand,1,yaml
67da5ae29f57419143d2b99a,physical-demand,100,jsonc
68138e7f96395f4c5f3a0a87,physical-demand,24,json
66684beba2a2d24645a6d782,physical-demand,99,jsonc
660eafee7515c432e850362d,physical-demand,28,hjson
62d7fef5538b81f205ba4656,physical-demand,0,xml
67caa7fe00179edfb74d3e1a,physical-demand,80,json5
65fae23bd06ae76bcc297e8b,physical-demand,85,hjson
588ab33542c8e900019d02ae,physical-demand,3,jsonc
67f4ea448eb6a2b293c1f2fc,physical-demand,100,json
65f4ab7884f8411c9e11a34e,physical-demand,8,json5
611d0afbb2a19acfd012545b,physical-demand,25,toml
67406c1303bd39d206ff2b50,physical-demand,50,xml
61601e9a6b8306196d2a129c,physical-demand,25,hjson
65fad6c874ac75642ffc254b,physical-demand,85,hjson
606c7d27f4f3ae688332a55d,physical-demand,15,toml
67f66486e35051403284eb5e,physical-demand,58,xml
67a8fa10b4db1990f7372f01,physical-demand,95,json5
6094ce8d0764c24f352d1fe5,physical-demand,72,hjson
6715c7aedee148c65c10509c,physical-demand,15,yaml
664e413a5f3eb7f99d90e15b,physical-demand,70,json
65fb13bebfa339f73b4cf76a,physical-demand,88,jsonc
65fb236a5a78fcf672df7469,physical-demand,90,json
60f7c71d1cffec381351b0b3,physical-demand,95,xml
675330fb23080b9ae3ec8239,physical-demand,95,json5
671e39c25e5e3f340a6f21d4,physical-demand,45,jsonc
5fb4fcd1fce53c30649dd704,physical-demand,80,xml
67d0251c804fc17732eb948a,physical-demand,87,toml
67d11644421446068e1fec14,physical-demand,53,toml
67d0088c269b3e96d9ba6019,physical-demand,100,hjson
678a94ff1cf9f0775cb89e69,physical-demand,60,hjson
67176f0792ed8c4064f61a2c,physical-demand,91,json
678526627e48ded12935af38,physical-demand,30,yaml
6738d09a032bf7224008ce7e,physical-demand,99,yaml
62d6d87d91cf24a3c1c0f10c,physical-demand,1,hjson
67c6ed1e12728e4fe7a1edf6,physical-demand,37,jsonc
672b5998daafdbf9c43a531b,physical-demand,94,jsonc
5795af044a84da00014c5df1,physical-demand,0,json
65298aca34ac384b783169d4,physical-demand,0,jsonc
681374d36d7bd7ccb6f914f5,physical-demand,35,json5
61287939bc5a971fc15333e4,physical-demand,100,json
65feaaac53eb219f09ad5ea0,physical-demand,95,toml
5755c957eb80c4000741a9ce,physical-demand,14,json5
6693d3ae2bd15cf7a058e6a7,physical-demand,32,json5
60e2bf0aa568b97e8d525872,physical-demand,75,toml
67d24179c5bd87691f1fe036,physical-demand,5,yaml
5c4f5967aac8be0001716a65,physical-demand,55,xml
67895b7d6400163124042af7,temporal-demand,86,jsonc
659960f32faa4ff4b116de92,temporal-demand,70,toml
5f7f239e9b204e05b6c36538,temporal-demand,71,json5
67b8636acd5ed420cc098b64,temporal-demand,73,toml
57ca4b09993b08000192297b,temporal-demand,10,xml
67d1cc8044430e99a7d91b4a,temporal-demand,96,toml
6693ce87e76d32ccf07fbcd8,temporal-demand,50,xml
680ebf035ab59d342f31726e,temporal-demand,85,hjson
67f0d86fabc081fdc410e828,temporal-demand,91,yaml
6691809035e52ca9b2b0f39a,temporal-demand,55,yaml
678faf5b31008609fd85b185,temporal-demand,80,json5
65e85a421f2dee53c62fbf45,temporal-demand,100,json5
666b0b42bb6fa2822fa27a32,temporal-demand,21,json5
6708da9c62672d0fe65b6683,temporal-demand,40,jsonc
60f70af563ef757f65e750e0,temporal-demand,75,xml
670f9ddb0e32533c222c3031,temporal-demand,74,json
67d03135f855dd0ff0994265,temporal-demand,75,toml
674f479b2a4ef75e4551f258,temporal-demand,75,json5
5ee4a14b578f8a000b384376,temporal-demand,3,yaml
63af557b3d4f219c3226b7d6,temporal-demand,10,yaml
65583ffa38bfc41805a553cd,temporal-demand,15,hjson
66684d30d1a0d64a3a348c82,temporal-demand,100,yaml
60ec51c51a3158a50ded8a3e,temporal-demand,27,json5
671bdd06525adeea062a1d73,temporal-demand,21,json
6647e8618c77f7b938865d25,temporal-demand,66,json5
613a541cf948d295c1df8752,temporal-demand,85,jsonc
5e5c993cd0394c474f7cc502,temporal-demand,45,toml
67c045fa5074c5500ca40e76,temporal-demand,100,xml
67d2eaf9d5996dc6be1c7072,temporal-demand,98,xml
60e2ebb6ad1d5ee0e515a7c5,temporal-demand,90,yaml
67153c0d669d191ab273b865,temporal-demand,100,yaml
67ab1d683813ed19603e1030,temporal-demand,23,yaml
60e343946a7faddde88fbe3c,temporal-demand,68,yaml
67e0333064ddada0e2fc6f1e,temporal-demand,99,yaml
5b3ec4332a5fbf00014eae57,temporal-demand,55,toml
66912d7bf9d35c08f6919958,temporal-demand,100,json
6717980047b565ab5b849317,temporal-demand,91,hjson
651b29ff3a6cadf518640abe,temporal-demand,90,xml
6818ca1523ece90f671e3601,temporal-demand,78,json
67c1dd323984fa84ae83e162,temporal-demand,99,jsonc
67d2a409ab3638e33fc417b9,temporal-demand,100,hjson
66ec8f7ce843d25227820f97,temporal-demand,63,hjson
6680d2279263349cc005956a,temporal-demand,60,json
6081728972120aa7f9685791,temporal-demand,25,json
67aca6831f2b0b79416bdb6c,temporal-demand,80,xml
675aaf0eb1b401136f37c475,temporal-demand,80,json
6723422d5f63c70998014b03,temporal-demand,60,jsonc
6554e79557e3d6be08e32ceb,temporal-demand,70,yaml
645b519f108c046164a6d232,temporal-demand,40,yaml
589cd166b2a7180001f0527d,temporal-demand,48,jsonc
6682a94b061954ae8483fb08,temporal-demand,5,toml
6735b2a6112cf17b7b8df8d1,temporal-demand,92,jsonc
67792abbab2fa21bf3644c09,temporal-demand,100,hjson
5ea90bb434d5e337e98c7edd,temporal-demand,85,json5
677f8968bbb08bc37c8d2a4b,temporal-demand,81,xml
672f51ea346fba23ddd5a793,temporal-demand,84,xml
67d13a1ec91ae2216896de44,temporal-demand,50,json
67bf5ad9c5a4637861cfd21e,temporal-demand,99,toml
616e5ae706e970fe0aff99b6,temporal-demand,55,hjson
66311bae532a469f4858933e,temporal-demand,30,toml
669284eabea5b8c9655927da,temporal-demand,70,yaml
67da5ae29f57419143d2b99a,temporal-demand,100,jsonc
68138e7f96395f4c5f3a0a87,temporal-demand,97,json
66684beba2a2d24645a6d782,temporal-demand,99,jsonc
660eafee7515c432e850362d,temporal-demand,42,hjson
62d7fef5538b81f205ba4656,temporal-demand,71,xml
67caa7fe00179edfb74d3e1a,temporal-demand,75,json5
65fae23bd06ae76bcc297e8b,temporal-demand,85,hjson
588ab33542c8e900019d02ae,temporal-demand,5,jsonc
67f4ea448eb6a2b293c1f2fc,temporal-demand,100,json
65f4ab7884f8411c9e11a34e,temporal-demand,57,json5
611d0afbb2a19acfd012545b,temporal-demand,50,toml
67406c1303bd39d206ff2b50,temporal-demand,70,xml
61601e9a6b8306196d2a129c,temporal-demand,80,hjson
65fad6c874ac75642ffc254b,temporal-demand,80,hjson
606c7d27f4f3ae688332a55d,temporal-demand,100,toml
67f66486e35051403284eb5e,temporal-demand,98,xml
67a8fa10b4db1990f7372f01,temporal-demand,85,json5
6094ce8d0764c24f352d1fe5,temporal-demand,6,hjson
6715c7aedee148c65c10509c,temporal-demand,70,yaml
664e413a5f3eb7f99d90e15b,temporal-demand,60,json
65fb13bebfa339f73b4cf76a,temporal-demand,18,jsonc
65fb236a5a78fcf672df7469,temporal-demand,60,json
60f7c71d1cffec381351b0b3,temporal-demand,78,xml
675330fb23080b9ae3ec8239,temporal-demand,90,json5
671e39c25e5e3f340a6f21d4,temporal-demand,100,jsonc
5fb4fcd1fce53c30649dd704,temporal-demand,99,xml
67d0251c804fc17732eb948a,temporal-demand,100,toml
67d11644421446068e1fec14,temporal-demand,53,toml
67d0088c269b3e96d9ba6019,temporal-demand,100,hjson
678a94ff1cf9f0775cb89e69,temporal-demand,70,hjson
67176f0792ed8c4064f61a2c,temporal-demand,91,json
678526627e48ded12935af38,temporal-demand,89,yaml
6738d09a032bf7224008ce7e,temporal-demand,57,yaml
62d6d87d91cf24a3c1c0f10c,temporal-demand,74,hjson
67c6ed1e12728e4fe7a1edf6,temporal-demand,91,jsonc
672b5998daafdbf9c43a531b,temporal-demand,95,jsonc
5795af044a84da00014c5df1,temporal-demand,35,json
65298aca34ac384b783169d4,temporal-demand,0,jsonc
681374d36d7bd7ccb6f914f5,temporal-demand,37,json5
61287939bc5a971fc15333e4,temporal-demand,100,json
65feaaac53eb219f09ad5ea0,temporal-demand,93,toml
5755c957eb80c4000741a9ce,temporal-demand,18,json5
6693d3ae2bd15cf7a058e6a7,temporal-demand,55,json5
60e2bf0aa568b97e8d525872,temporal-demand,100,toml
67d24179c5bd87691f1fe036,temporal-demand,10,yaml
5c4f5967aac8be0001716a65,temporal-demand,35,xml
67895b7d6400163124042af7,performance,68,jsonc
659960f32faa4ff4b116de92,performance,10,toml
5f7f239e9b204e05b6c36538,performance,78,json5
67b8636acd5ed420cc098b64,performance,83,toml
57ca4b09993b08000192297b,performance,65,xml
67d1cc8044430e99a7d91b4a,performance,91,toml
6693ce87e76d32ccf07fbcd8,performance,5,xml
680ebf035ab59d342f31726e,performance,15,hjson
67f0d86fabc081fdc410e828,performance,25,yaml
6691809035e52ca9b2b0f39a,performance,40,yaml
678faf5b31008609fd85b185,performance,59,json5
65e85a421f2dee53c62fbf45,performance,25,json5
666b0b42bb6fa2822fa27a32,performance,60,json5
6708da9c62672d0fe65b6683,performance,95,jsonc
60f70af563ef757f65e750e0,performance,35,xml
670f9ddb0e32533c222c3031,performance,44,json
67d03135f855dd0ff0994265,performance,80,toml
674f479b2a4ef75e4551f258,performance,93,json5
5ee4a14b578f8a000b384376,performance,65,yaml
63af557b3d4f219c3226b7d6,performance,95,yaml
65583ffa38bfc41805a553cd,performance,70,hjson
66684d30d1a0d64a3a348c82,performance,55,yaml
60ec51c51a3158a50ded8a3e,performance,90,json5
671bdd06525adeea062a1d73,performance,1,json
6647e8618c77f7b938865d25,performance,21,json5
613a541cf948d295c1df8752,performance,20,jsonc
5e5c993cd0394c474f7cc502,performance,40,toml
67c045fa5074c5500ca40e76,performance,10,xml
67d2eaf9d5996dc6be1c7072,performance,10,xml
60e2ebb6ad1d5ee0e515a7c5,performance,80,yaml
67153c0d669d191ab273b865,performance,45,yaml
67ab1d683813ed19603e1030,performance,85,yaml
60e343946a7faddde88fbe3c,performance,95,yaml
67e0333064ddada0e2fc6f1e,performance,0,yaml
5b3ec4332a5fbf00014eae57,performance,15,toml
66912d7bf9d35c08f6919958,performance,0,json
6717980047b565ab5b849317,performance,51,hjson
651b29ff3a6cadf518640abe,performance,90,xml
6818ca1523ece90f671e3601,performance,0,json
67c1dd323984fa84ae83e162,performance,54,jsonc
67d2a409ab3638e33fc417b9,performance,43,hjson
66ec8f7ce843d25227820f97,performance,85,hjson
6680d2279263349cc005956a,performance,9,json
6081728972120aa7f9685791,performance,90,json
67aca6831f2b0b79416bdb6c,performance,97,xml
675aaf0eb1b401136f37c475,performance,50,json
6723422d5f63c70998014b03,performance,53,jsonc
6554e79557e3d6be08e32ceb,performance,45,yaml
645b519f108c046164a6d232,performance,30,yaml
589cd166b2a7180001f0527d,performance,53,jsonc
6682a94b061954ae8483fb08,performance,20,toml
6735b2a6112cf17b7b8df8d1,performance,98,jsonc
67792abbab2fa21bf3644c09,performance,86,hjson
5ea90bb434d5e337e98c7edd,performance,50,json5
677f8968bbb08bc37c8d2a4b,performance,86,xml
672f51ea346fba23ddd5a793,performance,86,xml
67d13a1ec91ae2216896de44,performance,21,json
67bf5ad9c5a4637861cfd21e,performance,2,toml
616e5ae706e970fe0aff99b6,performance,54,hjson
66311bae532a469f4858933e,performance,30,toml
669284eabea5b8c9655927da,performance,49,yaml
67da5ae29f57419143d2b99a,performance,65,jsonc
68138e7f96395f4c5f3a0a87,performance,30,json
66684beba2a2d24645a6d782,performance,49,jsonc
660eafee7515c432e850362d,performance,63,hjson
62d7fef5538b81f205ba4656,performance,11,xml
67caa7fe00179edfb74d3e1a,performance,50,json5
65fae23bd06ae76bcc297e8b,performance,50,hjson
588ab33542c8e900019d02ae,performance,94,jsonc
67f4ea448eb6a2b293c1f2fc,performance,80,json
65f4ab7884f8411c9e11a34e,performance,67,json5
611d0afbb2a19acfd012545b,performance,30,toml
67406c1303bd39d206ff2b50,performance,55,xml
61601e9a6b8306196d2a129c,performance,20,hjson
65fad6c874ac75642ffc254b,performance,15,hjson
606c7d27f4f3ae688332a55d,performance,10,toml
67f66486e35051403284eb5e,performance,10,xml
67a8fa10b4db1990f7372f01,performance,78,json5
6094ce8d0764c24f352d1fe5,performance,54,hjson
6715c7aedee148c65c10509c,performance,70,yaml
664e413a5f3eb7f99d90e15b,performance,25,json
65fb13bebfa339f73b4cf76a,performance,83,jsonc
65fb236a5a78fcf672df7469,performance,15,json
60f7c71d1cffec381351b0b3,performance,80,xml
675330fb23080b9ae3ec8239,performance,70,json5
671e39c25e5e3f340a6f21d4,performance,80,jsonc
5fb4fcd1fce53c30649dd704,performance,20,xml
67d0251c804fc17732eb948a,performance,75,toml
67d11644421446068e1fec14,performance,13,toml
67d0088c269b3e96d9ba6019,performance,60,hjson
678a94ff1cf9f0775cb89e69,performance,90,hjson
67176f0792ed8c4064f61a2c,performance,88,json
678526627e48ded12935af38,performance,10,yaml
6738d09a032bf7224008ce7e,performance,95,yaml
62d6d87d91cf24a3c1c0f10c,performance,25,hjson
67c6ed1e12728e4fe7a1edf6,performance,40,jsonc
672b5998daafdbf9c43a531b,performance,51,jsonc
5795af044a84da00014c5df1,performance,8,json
65298aca34ac384b783169d4,performance,10,jsonc
681374d36d7bd7ccb6f914f5,performance,100,json5
61287939bc5a971fc15333e4,performance,100,json
65feaaac53eb219f09ad5ea0,performance,93,toml
5755c957eb80c4000741a9ce,performance,2,json5
6693d3ae2bd15cf7a058e6a7,performance,90,json5
60e2bf0aa568b97e8d525872,performance,75,toml
67d24179c5bd87691f1fe036,performance,55,yaml
5c4f5967aac8be0001716a65,performance,65,xml
67895b7d6400163124042af7,effort,86,jsonc
659960f32faa4ff4b116de92,effort,100,toml
5f7f239e9b204e05b6c36538,effort,99,json5
67b8636acd5ed420cc098b64,effort,96,toml
57ca4b09993b08000192297b,effort,85,xml
67d1cc8044430e99a7d91b4a,effort,99,toml
6693ce87e76d32ccf07fbcd8,effort,90,xml
680ebf035ab59d342f31726e,effort,96,hjson
67f0d86fabc081fdc410e828,effort,99,yaml
6691809035e52ca9b2b0f39a,effort,85,yaml
678faf5b31008609fd85b185,effort,85,json5
65e85a421f2dee53c62fbf45,effort,100,json5
666b0b42bb6fa2822fa27a32,effort,75,json5
6708da9c62672d0fe65b6683,effort,100,jsonc
60f70af563ef757f65e750e0,effort,90,xml
670f9ddb0e32533c222c3031,effort,51,json
67d03135f855dd0ff0994265,effort,75,toml
674f479b2a4ef75e4551f258,effort,80,json5
5ee4a14b578f8a000b384376,effort,97,yaml
63af557b3d4f219c3226b7d6,effort,87,yaml
65583ffa38bfc41805a553cd,effort,70,hjson
66684d30d1a0d64a3a348c82,effort,99,yaml
60ec51c51a3158a50ded8a3e,effort,58,json5
671bdd06525adeea062a1d73,effort,30,json
6647e8618c77f7b938865d25,effort,71,json5
613a541cf948d295c1df8752,effort,90,jsonc
5e5c993cd0394c474f7cc502,effort,80,toml
67c045fa5074c5500ca40e76,effort,100,xml
67d2eaf9d5996dc6be1c7072,effort,96,xml
60e2ebb6ad1d5ee0e515a7c5,effort,45,yaml
67153c0d669d191ab273b865,effort,55,yaml
67ab1d683813ed19603e1030,effort,50,yaml
60e343946a7faddde88fbe3c,effort,70,yaml
67e0333064ddada0e2fc6f1e,effort,100,yaml
5b3ec4332a5fbf00014eae57,effort,85,toml
66912d7bf9d35c08f6919958,effort,100,json
6717980047b565ab5b849317,effort,90,hjson
651b29ff3a6cadf518640abe,effort,100,xml
6818ca1523ece90f671e3601,effort,81,json
67c1dd323984fa84ae83e162,effort,95,jsonc
67d2a409ab3638e33fc417b9,effort,100,hjson
66ec8f7ce843d25227820f97,effort,100,hjson
6680d2279263349cc005956a,effort,84,json
6081728972120aa7f9685791,effort,100,json
67aca6831f2b0b79416bdb6c,effort,100,xml
675aaf0eb1b401136f37c475,effort,95,json
6723422d5f63c70998014b03,effort,96,jsonc
6554e79557e3d6be08e32ceb,effort,95,yaml
645b519f108c046164a6d232,effort,65,yaml
589cd166b2a7180001f0527d,effort,98,jsonc
6682a94b061954ae8483fb08,effort,10,toml
6735b2a6112cf17b7b8df8d1,effort,99,jsonc
67792abbab2fa21bf3644c09,effort,99,hjson
5ea90bb434d5e337e98c7edd,effort,95,json5
677f8968bbb08bc37c8d2a4b,effort,100,xml
672f51ea346fba23ddd5a793,effort,88,xml
67d13a1ec91ae2216896de44,effort,58,json
67bf5ad9c5a4637861cfd21e,effort,97,toml
616e5ae706e970fe0aff99b6,effort,89,hjson
66311bae532a469f4858933e,effort,83,toml
669284eabea5b8c9655927da,effort,100,yaml
67da5ae29f57419143d2b99a,effort,95,jsonc
68138e7f96395f4c5f3a0a87,effort,98,json
66684beba2a2d24645a6d782,effort,98,jsonc
660eafee7515c432e850362d,effort,74,hjson
62d7fef5538b81f205ba4656,effort,13,xml
67caa7fe00179edfb74d3e1a,effort,80,json5
65fae23bd06ae76bcc297e8b,effort,95,hjson
588ab33542c8e900019d02ae,effort,95,jsonc
67f4ea448eb6a2b293c1f2fc,effort,99,json
65f4ab7884f8411c9e11a34e,effort,88,json5
611d0afbb2a19acfd012545b,effort,100,toml
67406c1303bd39d206ff2b50,effort,70,xml
61601e9a6b8306196d2a129c,effort,90,hjson
65fad6c874ac75642ffc254b,effort,90,hjson
606c7d27f4f3ae688332a55d,effort,70,toml
67f66486e35051403284eb5e,effort,93,xml
67a8fa10b4db1990f7372f01,effort,94,json5
6094ce8d0764c24f352d1fe5,effort,75,hjson
6715c7aedee148c65c10509c,effort,75,yaml
664e413a5f3eb7f99d90e15b,effort,80,json
65fb13bebfa339f73b4cf76a,effort,98,jsonc
65fb236a5a78fcf672df7469,effort,90,json
60f7c71d1cffec381351b0b3,effort,92,xml
675330fb23080b9ae3ec8239,effort,95,json5
671e39c25e5e3f340a6f21d4,effort,99,jsonc
5fb4fcd1fce53c30649dd704,effort,95,xml
67d0251c804fc17732eb948a,effort,100,toml
67d11644421446068e1fec14,effort,51,toml
67d0088c269b3e96d9ba6019,effort,100,hjson
678a94ff1cf9f0775cb89e69,effort,95,hjson
67176f0792ed8c4064f61a2c,effort,96,json
678526627e48ded12935af38,effort,100,yaml
6738d09a032bf7224008ce7e,effort,99,yaml
