participantId,task,difficulty,confidence,format
66049694dfb8828a8f3dce70,reading-task-tabular,2.8,6.0,yaml
6606b31155457e4f162ecf5a,modifying-task-tabular,4.5,6.75,json5
6606b31155457e4f162ecf5a,reading-task-tabular,2.8,7.0,json5
66475d6f7b27e4443ef0d031,modifying-task-tabular,2.5,5.0,json
66475d6f7b27e4443ef0d031,reading-task-tabular,1.2,7.0,json
665c5d94303fdf202ac9ded0,modifying-task-tabular,1.0,6.5,toml
665c5d94303fdf202ac9ded0,reading-task-tabular,1.4,6.6,toml
6672d878f68b9e349b56e871,modifying-task-tabular,4.5,3.75,toml
6672d878f68b9e349b56e871,reading-task-tabular,3.6,6.0,toml
6675c40cdc52b37294f0514e,modifying-task-tabular,4.5,3.5,hjson
6675c40cdc52b37294f0514e,reading-task-tabular,2.2,5.6,hjson
66781db404eab5e142f849d9,modifying-task-tabular,2.25,5.0,jsonc
66781db404eab5e142f849d9,reading-task-tabular,2.2,5.2,jsonc
667971a555af1f83d3f29ae7,modifying-task-tabular,2.75,5.75,hjson
667971a555af1f83d3f29ae7,reading-task-tabular,2.0,6.2,hjson
667983594f7d5d70a78c6e5a,modifying-task-tabular,4.75,3.25,json
667983594f7d5d70a78c6e5a,reading-task-tabular,2.4,6.0,json
667ac09492ea0caadf488520,modifying-task-tabular,3.25,4.5,json
667ac09492ea0caadf488520,reading-task-tabular,3.8,4.2,json
667c18ace97ab6869cb1c50e,modifying-task-tabular,3.0,5.5,hjson
667c18ace97ab6869cb1c50e,reading-task-tabular,2.0,6.2,hjson
667c2175b570aa694ce2f63c,modifying-task-tabular,4.5,6.0,toml
667c2175b570aa694ce2f63c,reading-task-tabular,3.2,5.8,toml
6697c8b6d9d7baa7edd8c4d3,modifying-task-tabular,3.25,4.0,hjson
6697c8b6d9d7baa7edd8c4d3,reading-task-tabular,2.0,4.8,hjson
66992f58a7964f557fc75f58,modifying-task-tabular,2.75,5.25,toml
66992f58a7964f557fc75f58,reading-task-tabular,1.4,6.4,toml
669a84e18da4349ece0ea67c,modifying-task-tabular,2.0,6.0,xml
669a84e18da4349ece0ea67c,reading-task-tabular,2.8,5.2,xml
669b961e1c9cf30a26bb57d2,modifying-task-tabular,4.75,4.0,xml
669b961e1c9cf30a26bb57d2,reading-task-tabular,6.4,4.2,xml
66a662a0a709312db9de01f2,modifying-task-tabular,4.75,3.25,jsonc
66a662a0a709312db9de01f2,reading-task-tabular,4.6,4.0,jsonc
66a9285501ac98053902d481,modifying-task-tabular,1.25,6.0,toml
66a9285501ac98053902d481,reading-task-tabular,1.0,7.0,toml
66b0d065329001a04e5ae671,modifying-task-tabular,3.25,4.5,json
66b0d065329001a04e5ae671,reading-task-tabular,1.4,6.4,json
66b246951b9aefec80b7158a,modifying-task-tabular,4.25,3.75,json
66b246951b9aefec80b7158a,reading-task-tabular,2.4,5.6,json
66bb6b7e0ccbed81f3ed30a8,modifying-task-tabular,6.25,1.75,xml
66bb6b7e0ccbed81f3ed30a8,reading-task-tabular,5.8,2.2,xml
66cdfebcb908ea2717d06b6c,modifying-task-tabular,3.25,5.5,hjson
66cdfebcb908ea2717d06b6c,reading-task-tabular,2.4,6.2,hjson
671a519900a99ebc15a67672,modifying-task-tabular,3.25,5.0,yaml
671a519900a99ebc15a67672,reading-task-tabular,3.8,5.6,yaml
671b65fe04c301eb14263ba5,modifying-task-tabular,2.0,6.0,toml
671b65fe04c301eb14263ba5,reading-task-tabular,1.4,6.8,toml
672003022f1b667a20157c45,modifying-task-tabular,1.25,6.5,yaml
672003022f1b667a20157c45,reading-task-tabular,1.4,7.0,yaml
672ca6c0324ac26cdc0dd298,modifying-task-tabular,4.25,5.5,json5
672ca6c0324ac26cdc0dd298,reading-task-tabular,4.2,5.8,json5
672d98919cc177d28c204e76,modifying-task-tabular,3.25,4.25,json5
672d98919cc177d28c204e76,reading-task-tabular,2.6,5.4,json5
6734346ca8e90c2da6fb4509,modifying-task-tabular,3.75,6.5,jsonc
6734346ca8e90c2da6fb4509,reading-task-tabular,2.4,6.6,jsonc
673c13c9d37c8a73bc80b8ce,modifying-task-tabular,5.5,5.25,json
673c13c9d37c8a73bc80b8ce,reading-task-tabular,4.2,4.8,json
673d0377254c407e5da57f97,modifying-task-tabular,1.75,6.25,toml
673d0377254c407e5da57f97,reading-task-tabular,3.4,6.2,toml
673e43cc760355e9e4f042a3,modifying-task-tabular,2.5,6.25,json5
673e43cc760355e9e4f042a3,reading-task-tabular,1.0,7.0,json5
6740ae39809389d7da9de209,modifying-task-tabular,6.0,4.0,xml
6740ae39809389d7da9de209,reading-task-tabular,5.2,5.6,xml
6753746b1f8827e2bd586bf0,modifying-task-tabular,5.5,3.0,xml
6753746b1f8827e2bd586bf0,reading-task-tabular,3.4,4.4,xml
677c52fe648cd68583dd3b1e,modifying-task-tabular,4.5,3.0,xml
677c52fe648cd68583dd3b1e,reading-task-tabular,2.2,5.0,xml
677d185800ab83d1b0185d82,modifying-task-tabular,5.5,4.25,jsonc
677d185800ab83d1b0185d82,reading-task-tabular,3.4,4.4,jsonc
677d32c679491be18090225b,modifying-task-tabular,1.5,6.5,xml
677d32c679491be18090225b,reading-task-tabular,1.6,4.8,xml
6784ff2095dd9b97e969b01f,modifying-task-tabular,3.25,4.75,jsonc
6784ff2095dd9b97e969b01f,reading-task-tabular,1.8,5.4,jsonc
6787d648d7b1963c661f9443,modifying-task-tabular,5.75,3.5,json5
6787d648d7b1963c661f9443,reading-task-tabular,4.6,4.8,json5
6787e4bd2bf9557a90208f03,modifying-task-tabular,4.75,3.5,yaml
6787e4bd2bf9557a90208f03,reading-task-tabular,3.8,4.4,yaml
6788c1c724c24dc56b08790a,modifying-task-tabular,2.75,6.5,json5
6788c1c724c24dc56b08790a,reading-task-tabular,1.6,7.0,json5
678bad003d15e6aba1ee5a5d,modifying-task-tabular,2.0,7.0,jsonc
678bad003d15e6aba1ee5a5d,reading-task-tabular,2.0,7.0,jsonc
678f0bb28ec3307e4f1afb78,modifying-task-tabular,1.5,6.5,hjson
678f0bb28ec3307e4f1afb78,reading-task-tabular,1.0,7.0,hjson
67a754a5c8614c52a939d87b,modifying-task-tabular,6.25,2.5,hjson
67a754a5c8614c52a939d87b,reading-task-tabular,1.6,2.0,hjson
67ab214c2cde1be7c45535ac,modifying-task-tabular,3.5,3.5,jsonc
67ab214c2cde1be7c45535ac,reading-task-tabular,1.4,5.2,jsonc
67ab57e88fd0774428bd1f32,modifying-task-tabular,6.0,5.75,xml
67ab57e88fd0774428bd1f32,reading-task-tabular,5.2,4.6,xml
67ab650c320eccf6141d4010,modifying-task-tabular,3.5,3.5,jsonc
67ab650c320eccf6141d4010,reading-task-tabular,4.6,4.8,jsonc
67adb27bd5f5776fcb16da62,modifying-task-tabular,2.25,4.25,hjson
67adb27bd5f5776fcb16da62,reading-task-tabular,1.0,6.8,hjson
67adb520391eb17f214a50b4,modifying-task-tabular,1.25,6.75,yaml
67adb520391eb17f214a50b4,reading-task-tabular,1.2,6.8,yaml
67aee0dfad3492b61a9ba0eb,modifying-task-tabular,1.5,6.75,jsonc
67aee0dfad3492b61a9ba0eb,reading-task-tabular,1.0,7.0,jsonc
67bf88cc763aae600b429a3e,modifying-task-tabular,2.5,5.75,toml
67bf88cc763aae600b429a3e,reading-task-tabular,2.8,5.6,toml
67c246023b44ca64d40ae45a,modifying-task-tabular,2.5,3.0,json5
67c246023b44ca64d40ae45a,reading-task-tabular,3.8,2.6,json5
67cb01a82dda2577eb6ee320,modifying-task-tabular,2.0,6.0,json
67cb01a82dda2577eb6ee320,reading-task-tabular,2.2,6.4,json
67cd944859dabbd1d4552d39,modifying-task-tabular,2.75,5.25,json
67cd944859dabbd1d4552d39,reading-task-tabular,2.8,6.6,json
67d00f24466a67ba7e41228e,modifying-task-tabular,2.5,5.0,toml
67d00f24466a67ba7e41228e,reading-task-tabular,2.4,5.8,toml
67d1283c8f6169900d0072d2,modifying-task-tabular,5.0,2.0,yaml
67d1283c8f6169900d0072d2,reading-task-tabular,3.2,5.0,yaml
67d163e7b7bcc1e9718e01da,modifying-task-tabular,3.75,7.0,json5
67d163e7b7bcc1e9718e01da,reading-task-tabular,4.4,6.2,json5
67d188bcc201cc08eac23f92,modifying-task-tabular,6.5,5.0,json5
67d188bcc201cc08eac23f92,reading-task-tabular,4.6,6.6,json5
67d29234dbfdb6668d124115,modifying-task-tabular,5.0,3.25,yaml
67d29234dbfdb6668d124115,reading-task-tabular,4.4,4.8,yaml
67d548b5aa5737666a77a6d2,modifying-task-tabular,2.5,5.5,json5
67d548b5aa5737666a77a6d2,reading-task-tabular,1.2,7.0,json5
67d7fa657f5ac0292a291a38,modifying-task-tabular,4.0,7.0,hjson
67d7fa657f5ac0292a291a38,reading-task-tabular,1.0,7.0,hjson
67d95269b47464c18da766ca,modifying-task-tabular,3.75,3.25,xml
67d95269b47464c18da766ca,reading-task-tabular,2.4,4.8,xml
67d9788747176969d8d0fa1d,modifying-task-tabular,2.0,6.0,hjson
67d9788747176969d8d0fa1d,reading-task-tabular,1.8,6.2,hjson
67dc19c31078d1581e39e75a,modifying-task-tabular,1.5,6.25,yaml
67dc19c31078d1581e39e75a,reading-task-tabular,1.4,6.6,yaml
67debe02a893eea51e8d02f2,modifying-task-tabular,4.0,1.75,json
67debe02a893eea51e8d02f2,reading-task-tabular,2.2,6.0,json
67e12acb51605ac16c227598,modifying-task-tabular,6.5,6.75,jsonc
67e12acb51605ac16c227598,reading-task-tabular,6.4,6.8,jsonc
67e17bac09359e09118892b4,modifying-task-tabular,3.5,3.5,json5
67e17bac09359e09118892b4,reading-task-tabular,2.6,1.8,json5
67e25388d573ec2d5f1c8442,modifying-task-tabular,3.5,6.25,yaml
67e25388d573ec2d5f1c8442,reading-task-tabular,2.6,6.6,yaml
67e4920c40c9561040ca01d0,modifying-task-tabular,5.25,3.25,xml
67e4920c40c9561040ca01d0,reading-task-tabular,2.8,5.4,xml
67e571bef6af7ecd9c29ad72,modifying-task-tabular,6.25,3.25,json
67e571bef6af7ecd9c29ad72,reading-task-tabular,5.0,4.6,json
67e5cf90b79d0874e1cf16b0,modifying-task-tabular,2.75,5.75,toml
67e5cf90b79d0874e1cf16b0,reading-task-tabular,5.4,4.0,toml
67eefd0739d752c54dd52686,modifying-task-tabular,1.75,6.25,toml
67eefd0739d752c54dd52686,reading-task-tabular,1.6,6.6,toml
67eff2b1a264260e948a4d14,modifying-task-tabular,2.5,5.5,xml
67eff2b1a264260e948a4d14,reading-task-tabular,2.4,5.8,xml
67f0c5d37f91ceae5cb3b318,modifying-task-tabular,1.25,6.75,jsonc
67f0c5d37f91ceae5cb3b318,reading-task-tabular,2.2,7.0,jsonc
67f184a3b82990251abd1592,modifying-task-tabular,3.25,5.75,yaml
67f184a3b82990251abd1592,reading-task-tabular,1.4,6.8,yaml
67f1a4f8dd44e7cd5adffa29,modifying-task-tabular,6.75,6.75,json5
67f1a4f8dd44e7cd5adffa29,reading-task-tabular,5.4,6.4,json5
67f1c7bd6f1c4a3d8deae02f,modifying-task-tabular,1.5,7.0,toml
67f1c7bd6f1c4a3d8deae02f,reading-task-tabular,1.6,7.0,toml
67f3619e16d4ca195fbd1bd0,modifying-task-tabular,2.0,7.0,yaml
67f3619e16d4ca195fbd1bd0,reading-task-tabular,2.4,7.0,yaml
67f5bb69760b211cdfe8021c,modifying-task-tabular,5.0,5.25,jsonc
67f5bb69760b211cdfe8021c,reading-task-tabular,3.6,5.4,jsonc
67f913a9b5c79e960807c7e3,modifying-task-tabular,4.5,5.0,yaml
67f913a9b5c79e960807c7e3,reading-task-tabular,1.8,6.2,yaml
